param,label,low,high,nominal,sobol_S1,sobol_ST
H_L,limit drop height,0.2,0.35,0.25,0.8931098978585438,0.2640897173204345
D_EST,impact deflection,0.08,0.25,0.15,0.5842051035075856,0.32918807712932346
LIFT,rotor-lift credit,0.0,0.5,0.0,1.1870730802828071,0.2562512077780993
N_LIMIT,peak-decel cap,12.0,25.0,20.0,0.21685939100353915,0.13595599224534768
ENVELOPE,stroke envelope,0.3,0.5,0.4,0.0,0.0
HONEYCOMB_STRESS,honeycomb crush stress,1500000.0,4000000.0,2500000.0,0.0,0.0
HONEYCOMB_DENSITY,honeycomb density,50.0,120.0,80.0,0.0,0.0
CRUSH_STROKE_EFF,crush usable fraction,0.6,0.85,0.75,0.0,0.0
ELASTO_FIXED_MASS,elastomer fixed mass,0.8,1.8,1.2,-0.05278200601442544,0.07060733255137372
ELASTO_MASS_PER_N,elastomer mass/load,6e-05,0.00015,0.0001,1.8489777407915104,1.3520896228276122
SKID_RAIL_MASS,skid rail mass,10.0,22.0,15.0,1.2174158792950174,1.1553951123877428
