xflr5 v6.59

Plane name :        Volde h = 0.75
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.211575   0.001415   0.005489   0.006904   0.000000  -0.000000  -0.785031  -0.000000  -0.000000   55.6000     2.8456
   -1.800     0.000   0.229440   0.001661   0.005350   0.007010   0.000000  -0.000000  -0.842150  -0.000000  -0.000000   55.6000     2.8121
   -1.600     0.000   0.247301   0.001926   0.005242   0.007168   0.000000  -0.000000  -0.899304  -0.000000  -0.000000   55.6000     2.7835
   -1.400     0.000   0.265157   0.002211   0.005162   0.007374   0.000000  -0.000000  -0.956489  -0.000000  -0.000000   55.6000     2.7588
   -1.200     0.000   0.283008   0.002517   0.005104   0.007621   0.000000  -0.000000  -1.013705  -0.000000  -0.000000   55.6000     2.7372
   -1.000     0.000   0.300855   0.002841   0.005060   0.007901   0.000000  -0.000000  -1.070948  -0.000000  -0.000000   55.6000     2.7182
   -0.800     0.000   0.318695   0.003186   0.005029   0.008215   0.000000  -0.000000  -1.128215  -0.000000  -0.000000   55.6000     2.7013
   -0.600     0.000   0.336530   0.003550   0.005012   0.008562   0.000000  -0.000000  -1.185503  -0.000000  -0.000000   55.6000     2.6863
   -0.400     0.000   0.354357   0.003934   0.005007   0.008940   0.000000  -0.000000  -1.242814  -0.000000  -0.000000   55.6000     2.6727
   -0.200     0.000   0.372178   0.004337   0.005008   0.009345   0.000000  -0.000000  -1.300147  -0.000000  -0.000000   55.6000     2.6605
    0.000     0.000   0.389992   0.004760   0.005009   0.009769   0.000000  -0.000000  -1.357507  -0.000000  -0.000000   55.6000     2.6495
    0.200     0.000   0.407798   0.005203   0.005013   0.010216   0.000000  -0.000000  -1.414889  -0.000000  -0.000000   55.6000     2.6394
    0.400     0.000   0.425595   0.005665   0.005021   0.010686   0.000000  -0.000000  -1.472289  -0.000000  -0.000000   55.6000     2.6301
    0.600     0.000   0.443384   0.006146   0.005032   0.011179   0.000000  -0.000000  -1.529704  -0.000000  -0.000000   55.6000     2.6217
    0.800     0.000   0.461164   0.006647   0.005045   0.011692   0.000000  -0.000000  -1.587133  -0.000000  -0.000000   55.6000     2.6139
    1.000     0.000   0.478935   0.007168   0.005064   0.012232   0.000000  -0.000000  -1.644574  -0.000000  -0.000000   55.6000     2.6067
    1.200     0.000   0.496695   0.007707   0.005086   0.012793   0.000000  -0.000000  -1.702024  -0.000000  -0.000000   55.6000     2.6000
    1.400     0.000   0.514445   0.008266   0.005107   0.013373   0.000000  -0.000000  -1.759480  -0.000000  -0.000000   55.6000     2.5939
