xflr5 v6.59

Plane name :        Volde h = 0
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.205213   0.001506   0.005554   0.007060   0.000000  -0.000000  -0.748169  -0.000000  -0.000000   55.6000     2.7748
   -1.800     0.000   0.222568   0.001769   0.005414   0.007183   0.000000  -0.000000  -0.801664  -0.000000  -0.000000   55.6000     2.7405
   -1.600     0.000   0.239920   0.002052   0.005300   0.007353   0.000000  -0.000000  -0.855149  -0.000000  -0.000000   55.6000     2.7112
   -1.400     0.000   0.257267   0.002357   0.005213   0.007571   0.000000  -0.000000  -0.908620  -0.000000  -0.000000   55.6000     2.6859
   -1.200     0.000   0.274609   0.002683   0.005149   0.007833   0.000000  -0.000000  -0.962074  -0.000000  -0.000000   55.6000     2.6637
   -1.000     0.000   0.291946   0.003031   0.005100   0.008130   0.000000  -0.000000  -1.015511  -0.000000  -0.000000   55.6000     2.6443
   -0.800     0.000   0.309277   0.003399   0.005062   0.008461   0.000000  -0.000000  -1.068929  -0.000000  -0.000000   55.6000     2.6270
   -0.600     0.000   0.326602   0.003788   0.005036   0.008825   0.000000  -0.000000  -1.122324  -0.000000  -0.000000   55.6000     2.6116
   -0.400     0.000   0.343921   0.004199   0.005024   0.009223   0.000000  -0.000000  -1.175697  -0.000000  -0.000000   55.6000     2.5977
   -0.200     0.000   0.361233   0.004630   0.005021   0.009651   0.000000  -0.000000  -1.229043  -0.000000  -0.000000   55.6000     2.5852
    0.000     0.000   0.378537   0.005083   0.005021   0.010103   0.000000  -0.000000  -1.282363  -0.000000  -0.000000   55.6000     2.5739
    0.200     0.000   0.395833   0.005556   0.005022   0.010578  -0.000000  -0.000000  -1.335653  -0.000000  -0.000000   55.6000     2.5635
    0.400     0.000   0.413121   0.006050   0.005026   0.011077  -0.000000  -0.000000  -1.388910  -0.000000  -0.000000   55.6000     2.5541
    0.600     0.000   0.430401   0.006565   0.005033   0.011599  -0.000000  -0.000000  -1.442132  -0.000000  -0.000000   55.6000     2.5454
    0.800     0.000   0.447671   0.007101   0.005044   0.012146  -0.000000  -0.000000  -1.495317  -0.000000  -0.000000   55.6000     2.5374
    1.000     0.000   0.464931   0.007658   0.005062   0.012720  -0.000000  -0.000000  -1.548463   0.000000  -0.000000   55.6000     2.5301
    1.200     0.000   0.482182   0.008235   0.005083   0.013318  -0.000000  -0.000000  -1.601566   0.000000  -0.000000   55.6000     2.5233
    1.400     0.000   0.499422   0.008833   0.005102   0.013936  -0.000000  -0.000000  -1.654625   0.000000  -0.000000   55.6000     2.5170
    1.600     0.000   0.516651   0.009452   0.005133   0.014585  -0.000000  -0.000000  -1.707636   0.000000   0.000000   55.6000     2.5111
    1.800     0.000   0.533869   0.010091   0.005164   0.015256  -0.000000  -0.000000  -1.760597   0.000000   0.000000   55.6000     2.5056
    2.000     0.000   0.551076   0.010751   0.005206   0.015957  -0.000000  -0.000000  -1.813505   0.000000   0.000000   55.6000     2.5005
    2.200     0.000   0.568270   0.011431   0.005264   0.016694  -0.000000  -0.000000  -1.866359   0.000000   0.000000   55.6000     2.4958
    2.400     0.000   0.585451   0.012131   0.005353   0.017484  -0.000000  -0.000000  -1.919156   0.000000   0.000000   55.6000     2.4913
    2.600     0.000   0.602620   0.012852   0.005474   0.018326  -0.000000  -0.000000  -1.971894   0.000000   0.000000   55.6000     2.4871
    2.800     0.000   0.619775   0.013593   0.005615   0.019208  -0.000000  -0.000000  -2.024571   0.000000   0.000000   55.6000     2.4832
    3.000     0.000   0.636916   0.014354   0.005759   0.020113  -0.000000  -0.000000  -2.077182   0.000000   0.000000   55.6000     2.4795
    3.200     0.000   0.654043   0.015135   0.005908   0.021043  -0.000000  -0.000000  -2.129726   0.000000   0.000000   55.6000     2.4760
    3.400     0.000   0.671156   0.015936   0.006068   0.022004  -0.000000  -0.000000  -2.182202   0.000000   0.000000   55.6000     2.4727
    3.600     0.000   0.688253   0.016757   0.006232   0.022989  -0.000000  -0.000000  -2.234606   0.000000   0.000000   55.6000     2.4696
    3.800     0.000   0.705335   0.017598   0.006394   0.023991  -0.000000  -0.000000  -2.286936   0.000000   0.000000   55.6000     2.4667
    4.000     0.000   0.722401   0.018458   0.006547   0.025006  -0.000000  -0.000000  -2.339190   0.000000   0.000000   55.6000     2.4640
    4.200     0.000   0.739450   0.019338   0.006708   0.026046  -0.000000  -0.000000  -2.391371   0.000000   0.000000   55.6000     2.4614
    4.400     0.000   0.756483   0.020238   0.006879   0.027117  -0.000000  -0.000000  -2.443478   0.000000   0.000000   55.6000     2.4589
