xflr5 v6.59

Plane name :        Volde h =3.0
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.219238   0.001259   0.005416   0.006675   0.000000  -0.000000  -0.824807  -0.000000  -0.000000   55.6000     2.9500
   -1.800     0.000   0.237701   0.001476   0.005278   0.006754   0.000000  -0.000000  -0.887257  -0.000000  -0.000000   55.6000     2.9180
   -1.600     0.000   0.256161   0.001711   0.005172   0.006883   0.000000  -0.000000  -0.949887  -0.000000  -0.000000   55.6000     2.8905
   -1.400     0.000   0.274616   0.001963   0.005096   0.007059   0.000000  -0.000000  -1.012701  -0.000000  -0.000000   55.6000     2.8668
   -1.200     0.000   0.293067   0.002233   0.005047   0.007280   0.000000  -0.000000  -1.075688  -0.000000  -0.000000   55.6000     2.8461
   -1.000     0.000   0.311512   0.002520   0.005018   0.007538   0.000000  -0.000000  -1.138833  -0.000000  -0.000000   55.6000     2.8278
   -0.800     0.000   0.329952   0.002824   0.005003   0.007828   0.000000  -0.000000  -1.202152  -0.000000  -0.000000   55.6000     2.8116
   -0.600     0.000   0.348386   0.003146   0.004998   0.008144   0.000000  -0.000000  -1.265662   0.000000  -0.000000   55.6000     2.7972
   -0.400     0.000   0.366813   0.003485   0.004997   0.008482   0.000000  -0.000000  -1.329377   0.000000  -0.000000   55.6000     2.7842
   -0.200     0.000   0.385234   0.003842   0.005000   0.008841   0.000000  -0.000000  -1.393299  -0.000000  -0.000000   55.6000     2.7724
    0.000     0.000   0.403648   0.004215   0.005005   0.009220   0.000000  -0.000000  -1.457417  -0.000000   0.000000   55.6000     2.7618
    0.200     0.000   0.422053   0.004606   0.005014   0.009620   0.000000  -0.000000  -1.521730   0.000000   0.000000   55.6000     2.7521
    0.400     0.000   0.440451   0.005014   0.005026   0.010040   0.000000  -0.000000  -1.586242  -0.000000   0.000000   55.6000     2.7432
    0.600     0.000   0.458841   0.005439   0.005039   0.010477   0.000000  -0.000000  -1.650950   0.000000   0.000000   55.6000     2.7351
    0.800     0.000   0.477222   0.005881   0.005053   0.010934   0.000000  -0.000000  -1.715851   0.000000   0.000000   55.6000     2.7276
    1.000     0.000   0.495593   0.006340   0.005072   0.011413   0.000000  -0.000000  -1.780938   0.000000   0.000000   55.6000     2.7206
    1.200     0.000   0.513955   0.006817   0.005097   0.011914   0.000000  -0.000000  -1.846211   0.000000   0.000000   55.6000     2.7142
    1.400     0.000   0.532307   0.007310   0.005120   0.012430   0.000000  -0.000000  -1.911667   0.000000   0.000000   55.6000     2.7083
