xflr5 v6.59

Plane name :        Volde_MainWingOnly
Polar name :        T1-55.6 m/s-VLM1
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.229379   0.000970   0.005324   0.006294   0.000000  -0.000000  -0.175975  -0.000000   0.000000   55.6000     0.5839
   -1.800     0.000   0.248685   0.001136   0.005191   0.006328   0.000000  -0.000000  -0.180817  -0.000000  -0.000000   55.6000     0.5533
   -1.600     0.000   0.267988   0.001316   0.005093   0.006409   0.000000  -0.000000  -0.185657   0.000000  -0.000000   55.6000     0.5270
   -1.400     0.000   0.287287   0.001509   0.005037   0.006546   0.000000  -0.000000  -0.190495  -0.000000  -0.000000   55.6000     0.5043
   -1.200     0.000   0.306580   0.001715   0.005013   0.006728   0.000000  -0.000000  -0.195331  -0.000000  -0.000000   55.6000     0.4845
   -1.000     0.000   0.325870   0.001935   0.005000   0.006935   0.000000  -0.000000  -0.200164  -0.000000  -0.000000   55.6000     0.4670
   -0.800     0.000   0.345153   0.002167   0.004991   0.007159   0.000000  -0.000000  -0.204995   0.000000  -0.000000   55.6000     0.4515
   -0.600     0.000   0.364431   0.002413   0.004990   0.007403   0.000000  -0.000000  -0.209823  -0.000000  -0.000000   55.6000     0.4376
   -0.400     0.000   0.383703   0.002672   0.004994   0.007666   0.000000  -0.000000  -0.214648  -0.000000  -0.000000   55.6000     0.4251
   -0.200     0.000   0.402969   0.002945   0.005003   0.007948   0.000000  -0.000000  -0.219470  -0.000000  -0.000000   55.6000     0.4138
    0.000     0.000   0.422227   0.003230   0.005013   0.008243   0.000000  -0.000000  -0.224289  -0.000000  -0.000000   55.6000     0.4036
    0.200     0.000   0.441479   0.003529   0.005023   0.008552   0.000000  -0.000000  -0.229103  -0.000000  -0.000000   55.6000     0.3942
    0.400     0.000   0.460722   0.003840   0.005038   0.008879   0.000000  -0.000000  -0.233914  -0.000000  -0.000000   55.6000     0.3856
    0.600     0.000   0.479958   0.004165   0.005054   0.009219   0.000000  -0.000000  -0.238721  -0.000000  -0.000000   55.6000     0.3778
    0.800     0.000   0.499186   0.004503   0.005071   0.009574   0.000000  -0.000000  -0.243524   0.000000  -0.000000   55.6000     0.3705
    1.000     0.000   0.518405   0.004854   0.005092   0.009946   0.000000  -0.000000  -0.248322   0.000000  -0.000000   55.6000     0.3637
    1.200     0.000   0.537615   0.005217   0.005125   0.010342   0.000000  -0.000000  -0.253116  -0.000000  -0.000000   55.6000     0.3575
    1.400     0.000   0.556815   0.005594   0.005155   0.010749   0.000000  -0.000000  -0.257904   0.000000   0.000000   55.6000     0.3517
    1.600     0.000   0.576006   0.005984   0.005189   0.011172   0.000000  -0.000000  -0.262687  -0.000000  -0.000000   55.6000     0.3462
    1.800     0.000   0.595186   0.006386   0.005242   0.011628   0.000000  -0.000000  -0.267465   0.000000   0.000000   55.6000     0.3412
    2.000     0.000   0.614356   0.006801   0.005294   0.012096   0.000000  -0.000000  -0.272237   0.000000  -0.000000   55.6000     0.3364
    2.200     0.000   0.633516   0.007229   0.005369   0.012598   0.000000  -0.000000  -0.277004  -0.000000  -0.000000   55.6000     0.3319
    2.400     0.000   0.652663   0.007670   0.005477   0.013147   0.000000  -0.000000  -0.281765   0.000000   0.000000   55.6000     0.3277
    2.600     0.000   0.671800   0.008124   0.005644   0.013768   0.000000  -0.000000  -0.286521   0.000000  -0.000000   55.6000     0.3238
    2.800     0.000   0.690924   0.008590   0.005868   0.014458   0.000000  -0.000000  -0.291270   0.000000   0.000000   55.6000     0.3200
    3.000     0.000   0.710036   0.009069   0.006122   0.015191   0.000000  -0.000000  -0.296014   0.000000   0.000000   55.6000     0.3165
    3.200     0.000   0.729135   0.009560   0.006384   0.015944   0.000000  -0.000000  -0.300752   0.000000   0.000000   55.6000     0.3131
    3.400     0.000   0.748221   0.010064   0.006651   0.016715   0.000000  -0.000000  -0.305482   0.000000   0.000000   55.6000     0.3100
    3.600     0.000   0.767293   0.010581   0.006931   0.017511   0.000000  -0.000000  -0.310205   0.000000   0.000000   55.6000     0.3069
    3.800     0.000   0.786352   0.011109   0.007219   0.018328  -0.000000  -0.000000  -0.314921   0.000000   0.000000   55.6000     0.3041
    4.000     0.000   0.805396   0.011651   0.007498   0.019148  -0.000000  -0.000000  -0.319630   0.000000   0.000000   55.6000     0.3013
    4.200     0.000   0.824426   0.012204   0.007750   0.019954  -0.000000  -0.000000  -0.324330   0.000000  -0.000000   55.6000     0.2987
    4.400     0.000   0.843441   0.012770   0.007994   0.020764  -0.000000  -0.000000  -0.329022   0.000000   0.000000   55.6000     0.2962
    4.600     0.000   0.862441   0.013348   0.008228   0.021575  -0.000000  -0.000000  -0.333705   0.000000   0.000000   55.6000     0.2939
    4.800     0.000   0.881425   0.013938   0.008451   0.022389  -0.000000  -0.000000  -0.338379   0.000000   0.000000   55.6000     0.2916
    5.000     0.000   0.900393   0.014540   0.008665   0.023205  -0.000000  -0.000000  -0.343045   0.000000  -0.000000   55.6000     0.2894
    5.200     0.000   0.919345   0.015154   0.008873   0.024027  -0.000000  -0.000000  -0.347701   0.000000   0.000000   55.6000     0.2873
    5.400     0.000   0.938280   0.015780   0.009080   0.024860  -0.000000  -0.000000  -0.352348   0.000000   0.000000   55.6000     0.2853
    5.600     0.000   0.957198   0.016418   0.009298   0.025716  -0.000000  -0.000000  -0.356985   0.000000  -0.000000   55.6000     0.2834
    5.800     0.000   0.976098   0.017068   0.009517   0.026585  -0.000000  -0.000000  -0.361613   0.000000   0.000000   55.6000     0.2816
    6.000     0.000   0.994981   0.017729   0.009719   0.027449  -0.000000  -0.000000  -0.366231   0.000000   0.000000   55.6000     0.2798
    6.200     0.000   1.013846   0.018402   0.009911   0.028313  -0.000000  -0.000000  -0.370838   0.000000   0.000000   55.6000     0.2781
    6.400     0.000   1.032692   0.019087   0.010084   0.029171  -0.000000  -0.000000  -0.375434   0.000000   0.000000   55.6000     0.2765
    6.600     0.000   1.051519   0.019784   0.010267   0.030051  -0.000000  -0.000000  -0.380019   0.000000   0.000000   55.6000     0.2749
    6.800     0.000   1.070327   0.020491   0.010433   0.030924  -0.000000  -0.000000  -0.384593   0.000000  -0.000000   55.6000     0.2734
    7.000     0.000   1.089116   0.021210   0.010614   0.031825  -0.000000  -0.000000  -0.389157   0.000000   0.000000   55.6000     0.2719
    7.200     0.000   1.107884   0.021941   0.010796   0.032737  -0.000000  -0.000000  -0.393709   0.000000   0.000000   55.6000     0.2705
    7.400     0.000   1.126633   0.022682   0.010980   0.033662  -0.000000  -0.000000  -0.398249   0.000000   0.000000   55.6000     0.2691
    7.600     0.000   1.145360   0.023435   0.011181   0.034616  -0.000000  -0.000000  -0.402779   0.000000   0.000000   55.6000     0.2678
    7.800     0.000   1.164067   0.024199   0.011377   0.035576  -0.000000  -0.000000  -0.407296   0.000000  -0.000000   55.6000     0.2665
    8.000     0.000   1.182753   0.024974   0.011599   0.036572  -0.000000  -0.000000  -0.411802   0.000000   0.000000   55.6000     0.2653
    8.200     0.000   1.201417   0.025760   0.011808   0.037568  -0.000000  -0.000000  -0.416295   0.000000  -0.000000   55.6000     0.2641
    8.400     0.000   1.220058   0.026556   0.012038   0.038594  -0.000000  -0.000000  -0.420776   0.000000   0.000000   55.6000     0.2630
    8.600     0.000   1.238678   0.027363   0.012261   0.039624  -0.000000  -0.000000  -0.425244  -0.000000  -0.000000   55.6000     0.2618
    8.800     0.000   1.257275   0.028181   0.012480   0.040661  -0.000000  -0.000000  -0.429699   0.000000   0.000000   55.6000     0.2607
    9.000     0.000   1.275849   0.029009   0.012729   0.041739  -0.000000  -0.000000  -0.434142   0.000000   0.000000   55.6000     0.2597
    9.200     0.000   1.294399   0.029848   0.013007   0.042855  -0.000000  -0.000000  -0.438572   0.000000  -0.000000   55.6000     0.2587
    9.400     0.000   1.312926   0.030697   0.013264   0.043961  -0.000000  -0.000000  -0.442988   0.000000   0.000000   55.6000     0.2577
    9.600     0.000   1.331429   0.031557   0.013532   0.045088  -0.000000  -0.000000  -0.447391   0.000000   0.000000   55.6000     0.2567
    9.800     0.000   1.349908   0.032426   0.013827   0.046253  -0.000000  -0.000000  -0.451780   0.000000   0.000000   55.6000     0.2558
   10.000     0.000   1.368361   0.033306   0.014161   0.047467  -0.000000  -0.000000  -0.456157   0.000000   0.000000   55.6000     0.2549
   10.200     0.000   1.386790   0.034196   0.014506   0.048701  -0.000000   0.000000  -0.460521   0.000000   0.000000   55.6000     0.2540
   10.400     0.000   1.405193   0.035095   0.014832   0.049927  -0.000000  -0.000000  -0.464869   0.000000   0.000000   55.6000     0.2532
   10.600     0.000   1.423571   0.036004   0.015172   0.051177  -0.000000  -0.000000  -0.469202   0.000000   0.000000   55.6000     0.2523
   10.800     0.000   1.441923   0.036923   0.015539   0.052462  -0.000000  -0.000000  -0.473522   0.000000  -0.000000   55.6000     0.2515
   11.000     0.000   1.460248   0.037852   0.015950   0.053802  -0.000000  -0.000000  -0.477830   0.000000  -0.000000   55.6000     0.2507
   11.200     0.000   1.478547   0.038790   0.016406   0.055195  -0.000000  -0.000000  -0.482124   0.000000  -0.000000   55.6000     0.2500
   11.400     0.000   1.496818   0.039737   0.016844   0.056581  -0.000000  -0.000000  -0.486401   0.000000  -0.000000   55.6000     0.2492
   11.600     0.000   1.515063   0.040694   0.017282   0.057976  -0.000000  -0.000000  -0.490663   0.000000   0.000000   55.6000     0.2485
   11.800     0.000   1.533279   0.041659   0.017741   0.059400  -0.000000  -0.000000  -0.494911   0.000000  -0.000000   55.6000     0.2478
